Column1;Column2;Column3;Column4
打针;dǎzhēn;сделать инъекцию (укол);4
大概;dàgài;"вероятно, пожалуй, возможно; приблизительно, в общем; в общих чертах; общий смысл";4
大使馆;dàshǐguǎn;посольство (сч. слово 座 zuò,个 ge);4
大约;dàyuē;"приблизительно, около, где-то; большей частью, главным образом; пожалуй, по-видимому";4
大夫;dàifu;врач, доктор (разг.);4
戴;dài;"носить; надевать (головной убор, перчатки, украшения и т.п.); почитать; любить";4
当;dāng;"быть, являться; становиться кем-либо; нести обязанности; (в качесте предлога)";4
当时;dāngshí;тогда, в то время;4
刀;dāo;нож (сч. слово 把 bǎ);4
导游;dǎoyóu;"вести (экскурсию); гид; путеводитель";4
倒;dào;"перевернуть; повернуть вверх ногами; наоборот; вспять";4
到处;dàochù;повсюду, везде;4
到底;dàodǐ;"(довести) до конца; полностью; в конце концов;";4
道歉;dàoqiàn;"приносить извинения, извиняться; выражать сожаление";4
得;dé;"получать; обретать; (постглагольный показатель)";4
得意;déyì;"довольный; самодовольный";4
登机牌;dēngjīpái;посадочный талон;4
等;děng;"ждать; и так далее";4
低;dī;"низкий; низко; низший";4
底;dǐ;" дно; низ; нижний; конец";4
地点;dìdiǎn;"(географический) пункт; точка; место";4
地球;dìqiú;"Земля, земной шар; земной";4
地址;dìzhǐ;адрес;4
掉;diào;"падать; выпадать; ронять; терять";4
调查;diàochá;"исследовать, расследовать; исследование, расследование, опрос";4
丢;diū;"потерять; утратить; бросать; выбрасывать";4
动作;dòngzuò;"движение; телодвижение; действовать; действие";4
堵车;dǔ chē;автомобильная пробка, затор;4
肚子;dùzi;"живот; (перен.) сердце, душа";4
短信;duǎnxìn;смс, сообщение (сч. слово 条 tiáo);4
对话;duìhuà;диалог (сч. слово 段 duàn, 次 cì);4
对面;duìmiàn;"напротив; противоположная сторона; лицом к лицу";4
对于;duìyú;"(предлог) по отношению к...; относительно; о, об";4
儿童;értóng;"подросток, ребёнок; детский";4
而;ér;"(союз) и; да; к тому же, но, а; (служ. слово)";4
发生;fāshēng;"возникать, появляться, происходить; случаться";4
发展;fāzhǎn;"развивать(-ся); расширяться; развитие; прогресс";4
法律;fǎlǜ;"закон; право; правовой; юридический";4
翻译;fānyì;"перевод, переводить; переводчик";4
烦恼;fánnǎo;"быть удручённым; огорчения; неприятности";4
反对;fǎnduì;"противостоять, быть в оппозиции; против; возражение, оппозиция";4
方法;fāngfǎ;"способ, метод; средство; путь, приём";4
方面;fāngmiàn;"сторона; со стороны; в направлении; аспект, отношение";4
方向;fāngxiàng;"направление; сторона; ориентация";4
房东;fángdōng;домохозяин, домовладелец;4
放弃;fàngqì;"отказаться, отбросить; оставить; утратить";4
放暑假;fàng shǔjià;находиться на летних каникулах;4
放松;fàngsōng;"ослаблять, послаблять; отдыхать, расслабляться";4
份;fèn;"часть, доля; пай, доза, порция; экземпляр; штука (сч. слово)";4
丰富;fēngfù;"богатый, обильный, изобильный; процветающий";4
否则;fǒuzé;"иначе, а то..., если не так, то...; в противном случае...";4
符合;fúhé;"соответствовать, отвечать (чему-л.); совпадать c; совпадение, соответствие";4
付款;fùkuǎn;"выплачивать (деньги); уплатить, заплатить; платёж";4
复印;fùyìn;копировать (напр. документ), отксерить;4
复杂;fùzá;"сложный; составной; комплексный";4
富;fù;богатый (также фамилия Фу);4
父亲;fùqīn;отец;4
负责;fùzé;"отвечать за (что-л.); нести ответственность за (что-л.), ответственный";4
改变;gǎibiàn;"изменять, переменять; преобразовывать; изменение, перемена";4
干杯;gān bēi;"выпить до дна, осушить бокал; пей до дна!";4
感动;gǎndòng;"растрогаться, расчувствоваться; растрогать";4
感觉;gǎnjué;"чувство; ощущение; реакция; чувствовать, ощущать; чувствительный; восприятие";4
感情;gǎnqíng;"чувство; эмоция";4
感谢;gǎnxiè;"быть благодарным; чувствительно благодарить";4
赶;gǎn;"догонять; гнаться; торопиться; спешить; спешно; к тому времени, как; когда";4
干;gàn;делать;4
刚;gāng;"только что; как раз; твёрдый, стойкий";4
高速公路;gāosù gōnglù;скоростное шоссе, скоростная дорога, автобан (букв. высокая скорость + общая дорога);4
胳膊;gēbo;"предплечье, рука от плеча до кисти; (сч. слово 只 zhī, 双 shuāng)";4
各;gè;каждый, всякий;4
公里;gōnglǐ;километр;4
功夫;gōngfu;"гунфу; время; умение, мастерство, навык";4
工资;gōngzī;заработная плата (сч. слово 份 fèn, 月 yuè);4
共同;gòngtóng;"совместный, общий, совокупный; единый";4
够;gòu;"достаточно, довольно; хватает";4
购物;gòuwù;покупка товаров, шопинг;4
估计;gūjì;"предполагать; оценивать; прикидывать; оценка";4
鼓励;gǔlì;поощрять, стимулировать, воодушевлять;4
故意;gùyì;преднамеренно, намеренно, умышленно;4
顾客;gùkè;клиент, покупатель, потребитель, заказчик;4
挂;guà;"вешать; вывешивать; висеть; вешать (трубку), отсоединяться; регистрироваться";4
关键;guānjiàn;"главный пункт, основное звено, суть; ключевой";4
观众;guānzhòng;"зрители, публика, аудитория; посетители";4
管理;guǎnlǐ;"контролировать; управление; управлять";4
光;guāng;"свет; сияние; дочиста, подчистую; голый; только; лишь";4
广播;guǎngbō;"широковещание, радиовещание, вещание, передача по радио; радиовещательная передача";4
广告;guǎnggào;"объявление; реклама; афиша";4
逛;guàng;"прогуливаться, прохаживаться; гулять";4
规定;guīdìng;"определять, устанавливать, давать установку; правило, закон, установление, регламент; определённый, установленный";4
国籍;guójí;подданство, гражданство;4
国际;guójì;"международный; интернациональный";4
果汁;guǒzhī;фруктовый сок;4
过程;guòchéng;"процесс; ход (дела, события)";4
海洋;hǎi yáng;"моря и океаны; морской";4
害羞;hàixiū;"стесняться; конфузиться; стыдиться; смущаться; смущение; стыд";4
寒假;hánjià;зимние каникулы (напр. о школе, об университете);4
汗;hàn;"пот; испарина; потеть";4
航班;hángbān;рейс, номер рейса;4
好处;hǎochù;"преимущество; достоинство; польза; выгода";4
好像;hǎoxiàng;"похоже, что...; быть похожим на...; кажется...";4
号码;hàomǎ;номер, число, цифра;4
合格;hégé;"соответствовать стандарту (норме); отвечать требованиям";4
合适;héshì;"удобный, подходящий, соответствующий; подходить, годиться";4
盒子;hézi;"ящик; коробка с крышкой; футляр";4
厚;hòu;"толстый (о плоских предметах); глубокий; сильный, крепкий, густой";4
后悔;hòuhuǐ;"сожалеть, раскаиваться; раскаяние";4
互联网;hùliánwǎng;Интернет;4
互相;hùxiāng;"друг друга; взаимный; взаимно, обоюдно, взаимо-";4
护士;hùshi;медсестра, медбрат;4
怀疑;huáiyí;"сомневаться; сомнение; подозревать; подозрение";4
回忆;huíyì;"вспоминать; воспоминание";4
活动;huódòng;"действовать; действие; деятельность; мероприятие; двигаться; подвижный";4
活泼;huópo;"живой; бойкий; подвижный; активный";4
火;huǒ;огонь;4
获得;huòdé;"получить; достигнуть; добиться";4
基础;jīchǔ;"основание, базис, основа, фундамент; основной; фундаментальный";4
激动;jīdòng;"возбуждать; волновать; волноваться; возбуждаться";4
积极;jījí;"активный; активно; положительный; позитивный";4
积累;jīlěi;"накапливать; накопление (напр., о капитале); аккумулирование";4
即使;jíshǐ;пусть даже, если даже, допустим даже;4
及时;jíshí;"вовремя; своевременно";4
寄;jì;"отправлять; посылать; поручать; вверять";4
技术;jìshù;"техника; специальные знания, искусство, мастерство; технология; технический";4
既然;jìrán;раз уже, поскольку, коль скоро, уж коли..., а если уж...;4
继续;jìxù;"продолжать(ся); продолжение";4
计划;jìhuà;"план; планировать; плановый";4
记者;jìzhě;журналист, корреспондент, репортёр (сч. слово 名 míng, 个 ge, 位 wèi);4
加班;jiābān;"работать сверхурочно; сверхурочная работа";4
加油站;jiāyóu zhàn;заправочная станция;4
家具;jiājù;мебель (сч. слово 件 jiàn, 套 tào);4
假;jiǎ;"ложный; фальшивый; поддельный; фиктивный";4
价格;jiàgé;цена;4
坚持;jiānchí;"твёрдо придерживаться; отстаивать; проявлять упорство";4
减肥;jiǎn féi;"худеть; похудение; снижение веса (букв. уменьшать жир)";4
减少;jiǎnshǎo;"уменьшать, убавлять, сокращать; редукция";4
建议;jiànyì;"предлагать; вносить предложение; рекомендовать; предложение";4
将来;jiānglái;"будущий; в будущем; будущее";4
奖金;jiǎngjīn;приз, премия (денежная), бонус, денежная награда;4
降低;jiàngdī;"снизить(ся); понизить(ся); снижение; понижение";4
降落;jiàngluò;"спускаться; падать; совершить посадку; приземлиться; посадка";4
交;jiāo;"сдавать; отдавать; вручать; иметь связь; водить знакомство; пересекаться; переплетаться; дружба; обмениваться; взаимно";4
交流;jiāoliú;"связь, контакт; общение, коммуникация; обмен, обмениваться";4
交通;jiāotōng;"связь; сообщение; коммуникации; пути сообщения; движение";4
郊区;jiāoqū;"пригород; пригородные районы";4
骄傲;jiāo ào;"надменный, высокомерный; гордый; гордость";4
饺子;jiǎozi;цзяоцзы, пельмени;4
教授;jiàoshòu;"профессор; преподавать; обучать";4
教育;jiàoyù;"просвещение, образование; воспитывать; воспитание";4
接受;jiēshòu;"принимать (напр., приглашение, подарок); воспринять (напр., критику)";4
接着;jiēzhe;"затем, вслед затем; следом; сразу за (чем-л.); принимать; продолжать";4
结果;jiéguǒ;"результат, итог; в результате";4
节;jié;"сустав; сочленение; абзац; параграф; такт (в музыке); (сч. сл. для уроков); праздник; экономить";4
节约;jiéyuē;"экономить; беречь; экономия; бережливость";4
解释;jiěshì;"объяснять, разъяснять; толковать; толкование";4
尽管;jǐnguǎn;"несмотря на..., хотя (бы даже), невзирая на...; смело, не стесняясь";4
紧张;jǐnzhāng;"напряжение; напряженный, волноваться, волнение";4
禁止;jìnzhǐ;"прекратить, пресечь, запретить; запрещённый";4
进行;jìnxíng;"проводить (что-либо), проведение; осуществлять; идти";4
京剧;jīngjù;пекинская опера, пекинская музыкальная драмa;4
精彩;jīngcǎi;"яркий, блестящий; впечатляющий, эффектный; замечательный";4
经济;jīngjì;"экономика; экономический";4
经历;jīnglì;"опыт, жизненный опыт; проходить, переживать, испытывать";4
经验;jīngyàn;"опыт; опытный; переживать, испытывать";4
景色;jǐngsè;"пейзаж, вид; картина; ландшафт";4
警察;jǐngchá;"полиция; полицейский";4
竞争;jìngzhēng;"соперничать, конкурировать; состязание; борьба, конкуренция";4
竟然;jìngrán;"в конце концов, в итоге; неожиданно; оказываться";4
镜子;jìngzi;зеркало (сч. слово 面 miàn, 个 ge);4
究竟;jiūjìng;"в конце концов; в заключение всего, наконец; в конечном счёте";4
举;jǔ;"поднимать; приводить (пример и т.п.); выдвигать; избирать";4
举办;jǔbàn;"организовать, устроить; положить начало; поставить (напр. дело)";4
举行;jǔxíng;"проводить, предпринимать; осуществлять, устраивать";4
拒绝;jùjué;отвергать, отказывать(ся), отклонять;4
聚会;jùhuì;"собираться, встречаться; встреча, собрание";4
距离;jùlí;расстояние, дальность, промежуток, дистанция;4
开玩笑;kāi wánxiào;шутить, подшучивать, разыгрывать;4
开心;kāixīn;"весело; радостно; радоваться; разыгрывать";4
看法;kànfǎ;"подход, точка зрения, мнение; взгляды, воззрение";4
烤鸭;kǎo yā;жареная утка;4
考虑;kǎolǜ;думать, обдумывать, продумывать, размышлять;4
棵;kē;(счётное слово для деревьев и др. растений);4
科学;kēxué;"наука; отрасль науки; научный (сч. слово 门 mén, 种 zhǒng, 个 ge)";4
咳嗽;késou;"кашлять; кашель";4
可怜;kělián;"жалкий, вызывающий жалость; плачевный; бедный, несчастный; жалеть, проявлять жалость";4
可是;kěshì;но, однако, а;4
可惜;kěxī;"жалеть, пожалеть; к сожалению, жаль, досадно; достойный сожаления, досадный";4
客厅;kètīng;гостиная (сч. слово 间 jiān);4
肯定;kěndìng;"утвердительный; положительный; несомненно, безусловно; констатировать; утверждать";4
空;kōng;"пустой; порожний; пустота; впустую, попусту, напрасно; воздух; воздушный";4
空气;kōngqì;воздух, атмосфера: воздушный, атмосферный;4
恐怕;kǒngpà;"бояться, опасаться; боюсь, что...";4
苦;kǔ;"горький; горечь; тяжёлый; горький; горе; невзгоды";4
矿泉水;kuàng quán shuǐ;минеральная водa;4
困;kùn;"утомиться, устать; клонит ко сну, хочется спать;  трудный; затруднительный";4
困难;kùnnan;"трудность; трудный, тяжёлый";4
垃圾桶;lājī tǒng;мусорное ведро;4
拉;lā;"тянуть, тащить; растягивать; вести за собой; втягивать; впутывать; играть (на смычковых инструментах)";4
辣;là;"острый; крепкий (напр., о табаке, водке)";4
来不及;lái bu jí;не успеть, не поспеть, не управиться, не обернуться;4
来得及;lái de jí;"успеть, поспеть; управиться, обернуться";4
来自;lái zì;"происходить из, исходить из, проистекать из; от, из (чего-л.)";4
懒;lǎn;ленивый;4
浪费;làngfèi;"расточительство, траты; растрачивать, транжирить, тратить";4
浪漫;làngmàn;романтичный;4
老虎;lǎohǔ;тигр (сч. слово 只 zhī);4
冷静;lěngjìng;невозмутимый, хладнокровный, спокойный,тихий, безлюдный;4
理发;lǐfà;"стричься; причёсываться; стрижка; причёсывание";4
理解;lǐjiě;"понимать, осмысливать, уяснять; понимание";4
理想;lǐxiǎng;"идеал, идеальное; мечта (сч. слово 个 ge)";4
礼拜天;lǐbài tiān;воскресенье;4
礼貌;lǐmào;"этикет, вежливость; корректность; вежливый";4
例如;lìrú;например, как например;4
力气;lìqi;"(физическая) сила; (мускульная) энергия";4
厉害;lìhai;"невыносимый; суровый; лихой; крутой, сильный; классный";4
俩;liǎ;"два; двое; оба; вдвоём; пара (часто включает говорящее лицо, употребляется без счётного слова)";4
联系;liánxì;"связываться; связывать, соединять; связь, контакт";4
连;lián;"соединять(ся); связывать(ся); вместе (с); даже; подряд";4
凉快;liángkuai;"прохладный; прохлада, свежесть; наслаждаться прохладой";4
零钱;língqián;"мелочь, мелкие деньги; карманные деньги";4
另外;lìngwài;"кроме того, сверх того; другой, иной";4
流利;liúlì;"свободный, беглый; складный (о речи)";4
流行;liúxíng;"модный; популярный; иметь хождение";4
留;liú;"остаться; задержать(-ся); сохранить, оставить";4
旅行;lǚxíng;"путешествовать; путешествие, поездка (сч. слово 趟 tàng, 次 cì, 个 ge); туристский, походный";4
乱;luàn;"беспорядочный, хаотичный; хаотично; перепутать(ся); смешать(ся)";4
律师;lǜshī;адвокат, юрист;4
麻烦;máfan;"хлопотливый; беспокойный; хлопоты; докучать; беспокоить; затруднять";4
马虎;mǎ hu;"небрежный, халатный; небрежно; спустя рукава, как попало; так себе";4
满;mǎn;"полный; целиком; полностью; наполнять; быть довольным; довольный";4
毛;máo;"шерсть; волос; пух; перья; волоски";4
毛巾;máojīn;полотенце (сч. слово 条 tiáo);4
美丽;měilì;красивый;4
梦;mèng;мечта (сч. слово 个 ge), сон (сч. слово 场 chăng);4
迷路;mí lù;"сбиться с пути, заблудиться; заблуждаться";4
密码;mìmǎ;"пароль, шифр, (секретный) код, пин-код; шифрованный";4
免费;miǎnfèi;"бесплатный; освобождать от платы";4
秒;miǎo;секунда;4
民族;mínzú;"нация, народ, этнос, этническая группа; национальность, народность (сч. слово 个 ge)";4
母亲;mǔqīn;мать, матушка;4
目的;mùdì;"цель; задача; намерение; замысел (сч. слово 个 ge)";4
耐心;nàixīn;"терпеливый; терпеливо; терпение";4
难道;nándào;неужто, неужели, разве... (в вопросах);4
难受;nánshòu;"тяжело переживать; страдать; чувствовать себя плохо";4
内;nèi;"внутренний; в; внутри; в течение";4
内容;nèiróng;"содержание, содержимое, контент; детали, подробности";4
能力;nénglì;"способность; сила";4
年龄;niánlíng;возраст;4
弄;nòng;"играть; забавляться; делать; достать; добыть";4
暖和;nuǎnhuo;"тёплый; тепло; греться, согреваться";4
偶尔;ǒu ěr;"случайно; от случая к случаю; изредка, время от времени, иногда";4
排队;pái duì;"стоять в очереди, становиться в очередь; строиться, становиться строем; строем";4
排列;pái liè;"располагать, расставлять; расстановка; построить, выстроить";4
判断;pànduàn;"определять, решать; решение; судить, оценивать; полагать; мнение; суждение; умозаключение";4
陪;péi;"составить компанию; сопровождать";4
批评;pīpíng;"критиковать; критика (сч. слово 个 ge)";4
皮肤;pífū;кожа, кожный покров;4
脾气;píqi;"характер; нрав; норов";4
篇;piān;"глава; раздел; часть; сч. сл. для статей и т.п.";4
骗;piàn;обманывать, дурачить;4
乒乓球;pīngpāng qiú;"мяч для пинг-понга; пинг-понг; настольный теннис";4
平时;píngshí;"обычно; в обычное время; обычный; будничный";4
破;pò;"сломать; разрушить; порвать; поранить; поломанный; разбитый; рваный; изношенный";4
葡萄;pútao;виноград;4
普遍;pǔbiàn;"повсеместный; всеобщий, универсальный; распространённый";4
普通话;pǔtōng huà;путунхуа (официальная норма китайского языка в КНР);4
其次;qí cì;"затем; потом; далее; следующий; во-вторых";4
其中;qí zhōng;"среди них; в том числе";4
气候;qìhòu;"климат; климатический; погода";4
千万;qiānwàn;"во что бы то ни стало; ни в коем случае (перед отрицанием); 10 миллионов; множество (образно)";4
签证;qiānzhèng;виза, визировать;4
敲;qiāo;"стучать; колотить; бить; вымогать; обдирать (разг.)";4
桥;qiáo;мост (сч. слово 座 zuò);4
巧克力;qiǎokèlì;шоколад (сч. слово 块 kuài);4
亲戚;qīnqi;"родные; родственники; родня";4
轻;qīng;"лёгкий; легко; третировать; недооценивать";4
轻松;qīngsōng;"лёгкий; непринуждённый; расслабиться";4
情况;qíngkuàng;"обстановка; обстоятельства; положение (сч. слово 个 ge, 种 zhǒng)";4
穷;qióng;"бедный; нищий; иссякать; кончаться";4
区别;qūbié;"различать; отличать; различие, отличие";4
取;qǔ;"брать; взять; получить; воспринимать; получать";4
全部;quánbù;"целиком; полностью; сполна; весь; полный, целый";4
缺点;quēdiǎn;"недостаток; изъян; дефект (сч. слово 个 ge)";4
缺少;quēshǎo;"недоставать, не хватать; недостающий, нехватка";4
却;què;"однако; но; тем не менее; (в соч.) отступать; отходить назад";4
确实;quèshí;"достоверный; действительный; в самом деле; действительно";4
然而;rán ér;"но, однако; тем не менее";4
热闹;rènao;"оживлённый; людный; шумный; веселье; весёлый";4
任何;rènhé;"любой; какой бы то ни было; всякий";4
任务;rènwu;"задача; задание";4
扔;rēng;"бросать; кидать; выбрасывать";4
仍然;réngrán;по-прежнему, до сих пор, всё ещё;4
日记;rìjì;дневник, ежедневник;4
入口;rùkǒu;вход;4
散步;sànbù;прогуливаться, гулять;4
森林;sēnlín;"лес; леса; лесной (сч. сл. 片 piàn)";4
沙发;shāfā;софа, диван;4
伤心;shāngxīn;"горевать, огорчаться, печалиться; ранить душу,";4
商量;shāngliang;консультироваться, советоваться, совещаться;4
稍微;shāowēi;"слегка, немного; чуть-чуть";4
勺子;sháozi;ложка (сч. сл. 把 bǎ);4
社会;shèhuì;"общество (сч. сл. 个 ge); общественный; социальный";4
深;shēn;"глубокий; глубина; темный";4
申请;shēnqǐng;"подавать заявление, ходатайствовать, просить; заявление, заявка, ходатайство";4
甚至;shènzhì;"вплоть до того, что; даже";4
生活;shēnghuó;"жизнь; бытие; жить; сущестововать; быт; жизненный; бытовой";4
生命;shēngmìng;"жизнь; жизненный; спасительный";4
生意;shēngyi;торговля, коммерция, бизнес;4
省;shěng;"экономить; беречь; сократить; опустить (напр., слово в тексте); провинция";4
剩;shèng;"оставаться; быть в остатке; оставшийся";4
失败;shībài;"потерпеть поражение (неудачу), провалиться; поражение, неудача";4
失望;shīwàng;"потерять надежду; разочароваться; разочарование";4
师傅;shīfu;"мастер; наставник";4
十分;shí fēn;"в полной мере; весьма, очень";4
实际;shíjì;"реальный; фактический; реальность; действительность";4
实在;shízài;"настоящий; действительный; действительно, на самом деле";4
使;shǐ;"применять; побудить; заставить; привести (к тому, что); чтобы";4
使用;shǐyòng;"использовать(ся); применять; употреблять; применение";4
世纪;shìjì;век (сч. сл. 个 ge);4
是否;shìfǒu;"(вопр. сл.) да или нет?, не...ли?; разве не...?";4
适合;shìhé;соответствовать, подходить;4
适应;shìyìng;"годиться, соответствовать; приспособляться; приспособление, адаптация; адаптивный";4
收;shōu;"получать; взимать; собирать; принимать; брать";4
收入;shōurù;"доход; поступления (денежные)";4
收拾;shōushi;"собирать; прибирать; ремонтировать; сводить счёты";4
首都;shǒudū;столица;4
首先;shǒuxiān;сначала, сперва;4
受不了;shòu bù liǎo;"не стерпеть, не вынести; невыносимый, нестерпимый";4
受到;shòudào;"получить; пользоваться; подвергнуться; потерпеть";4
售货员;shòuhuòyuán;продавец, консультант в магазине;4
输;shū;"транспортировать; перевозить; проиграть; потерпеть поражение";4
熟悉;shúxī;"быть в курсе дела, быть хорошо знакомым; знакомый";4
数量;shùliàng;"количество, число; цифра; количественный";4
数字;shùzì;"цифра; цифры; цифровой";4
帅;shuài;"красивый, привлекательный (о мужчине); полководец";4
顺便;shùnbiàn;"попутно, кстати, заодно; когда удобно, при случае";4
顺利;shùnlì;"гладко; успешно; благоприятно";4
顺序;shùnxù;"порядок; очередь; по порядку; по очереди";4
说明;shuōmíng;"объяснить, разъяснить; свидетельствовать; пояснение";4
硕士;shuòshì;специалист, магистр;4
死;sǐ;умирать, смерть, смертельный, мертвый, до смерти;4
塑料袋;sùliào dài;пластиковый пакет;4
速度;sùdù;скорость;4
酸;suān;"кислый; прокиснуть; (хим.) кислота; ныть; болеть";4
随便;suíbiàn;"как угодно, как захочется; как попало; необдуманно";4
随着;suízhe;"следуя, вслед за; по мере того, как";4
孙子;sūnzi;"дети и внуки; внук (сын сына)";4
所有;suǒyǒu;"всё, все, все имеющееся; имущество, собственность";4
台;tái;"башня; вышка; сцена, арена; (тех.) стенд; пульт; прилавок; стол; настольный; (сч. сл. для машин/механизмов); (сокр.) Тайвань";4
抬;tái;"поднимать; повышать; нести вдвоём (на шесте, на носилках)";4
态度;tàidu;"отношение; поведение; образ действий";4
弹钢琴;tán gāngqín;играть на пианино;4
谈;tán;"беседовать, разговаривать; разговоры";4
汤;tāng;"отвар; бульон; суп";4
糖;táng;"сахар; конфеты";4
躺;tǎng;"лечь; лежать (о человеке)";4
趟;tàng;(сч. сл. для поездок, походов) раз;4
讨论;tǎolùn;"обсуждать, дискутировать; прения, обсуждение; форум";4
讨厌;tǎoyàn;"испытывать отвращение (к к-л, ч-л); отвращение; надоесть; надоедливый; докучливый";4
特点;tèdiǎn;"особенность; своеобразие; специфика";4
提;tí;"держать в руке; поднимать; нести (за ручку); выдвигать, ставить (напр., вопрос); вносить (напр., предложение)";4
提供;tígōng;"предоставлять, поставлять, снабжать, обеспечивать; обеспечение, поставка, предоставление";4
提前;tíqián;"быть досрочным, ускоренным; досрочный, ускоренный; до срока, досрочно, заранее, заблаговременно";4
提醒;tíxǐng;"напоминать, делать напоминание, обращать внимание, уведомление; замечание";4
填空;tián kòng;заполнять пустые места;4
条件;tiáojiàn;"условие; условный; обстоятельства";4
停;tíng;"останавливать(ся); прекращать(ся); стоять (о поезде и т.п.)";4
挺;tǐng;"весьма; чрезвычайно; выпрямиться; выпятить";4
通过;tōngguò;"проходить через; принять (напр., резолюцию); посредством; с помощью; путём; через";4
通知;tōngzhī;"сообщать; уведомлять; извещение, уведомление";4
同情;tóngqíng;"сочувствие, симпатия; солидарность; сочувствовать, симпатизировать";4
同时;tóngshí;одновременно, в то же время;4
推;tuī;"толкать; перекладывать, сваливать; отложить (напр., собрание); отказываться; отклонять";4
推迟;tuīchí;"спускать на тормозах, замедлять; отсрочивать; откладывать; не торопиться (с чём-л.)";4
脱;tuō;"снять (одежду, обувь); слезать (о коже); выпасть (о волосах); опасть (о листьях); пропустить";4
袜子;wàzi;носки;4
完全;wánquán;"полный; целый; совершенный; законченный; полностью; целиком; совсем";4
往往;wǎngwǎng;зачастую, часто;4
网球;wǎngqiú;"теннис; теннисный мяч";4
网站;wǎngzhàn;сайт, веб-сайт;4
危险;wēixiǎn;"опасность; риск; опасный; угрожающий";4
卫生间;wèishēngjiān;туалет (сч. сл. 间 jiān);4
味道;wèidào;"вкус; запах; привкус; изящество; красота";4
温度;wēndù;"температура; температурный; термо-";4
文章;wénzhāng;"статья; сочинение (сч. сл. 篇 piān)";4
污染;wūrǎn;"загрязнить, запачкать; грязь, пятно";4
无;wú;"не; не иметь; без-";4
无聊;wúliáo;"скука; скучный; бессмысленный; пустой; неинтересный";4
无论;wúlùn;"независимо от ч-л; несмотря на то, что";4
误会;wùhuì;"ошибочно понимать, иметь неправильное представление; недоразумение";4
吸引;xīyǐn;"вовлекать; привлекать (напр., внимание); (перен.) втягивать";4
西红柿;xīhóngshì;"помидор; томатный";4
咸;xián;соленый;4
现金;xiànjīn;"наличные деньги; валюта";4
羡慕;xiànmù;завидовать, восхищаться, страстно желать;4
相反;xiāngfǎn;"противоположный; противоположность; напротив; наоборот";4
相同;xiāngtóng;"одинаковый; тождественный; идентичный";4
香;xiāng;"ароматный; вкусный; аппетитный; курительные свечи, курения";4
详细;xiángxì;"детальный, подробный; подробно, во всех деталях";4
响;xiǎng;"звучный; звонкий; звучать; греметь";4
橡皮;xiàngpí;"резина; резиновый; резинка, ластик";4
消息;xiāoxi;новость, известие, сообщение, информация (сч. сл. 条 tiáo);4
小吃;xiǎochī;"дежурные блюда; закуски; холодные блюда";4
小伙子;xiǎo huǒzi;молодой человек, парень;4
小说;xiǎoshuō;роман (сч. сл. 本 běn);4
效果;xiàoguǒ;результат, успех, эффект;4
笑话;xiàohuà;шутка, анекдот;4
心情;xīnqíng;"настроение; расположение духа";4
辛苦;xīnkǔ;"упорно трудиться; в поте лица; устать; утруждать";4
信封;xìnfēng;конверт;4
信息;xìnxī;"информация, сведения; весть, известие; сообщение";4
信心;xìnxīn;вера, уверенность (в своих силах), убеждённость;4
兴奋;xīngfèn;"волноваться, быть возбуждённым; испытывать подъём (воодушевление); волнение, возбуждение";4
行;xíng;"идти, ходить; передвигаться; ладно, идет, ОК";4
醒;xǐng;"проснуться; очнуться; протрезвиться; прийти в себя";4
幸福;xìngfú;"счастье; благополучие; благосклонность судьбы; счастливый";4
性别;xìngbié;"пол; половые различия";4
性格;xìnggé;" природа, характер, натура; темперамент";4
修理;xiūlǐ;"поправлять; ремонтировать; починка; реставрация; подстригать, подрезать";4
许多;xǔduō;"очень много, порядочно; целый ряд";4
学期;xuéqī;семестр (учебный);4
呀;ya;(междомет. выражает удивление, недоумение) досаду: ой!, ого!, эх!, нда!;4
压力;yālì;давление, сила давления;4
牙膏;yá gāo;зубная паста (сч. сл. 管 guǎn);4
亚洲;yàzhōu;Азия, азиатский;4
严格;yángé;"строгий; точный, чёткий";4
严重;yánzhòng;"серьёзный, тяжёлый; опасный, критический; решительный, строгий";4
盐;yán;соль (сч. сл. 粒 lì);4
研究;yánjiū;"изучать, исследовать; рассматривать; обсуждать (напр., проблему)";4
演出;yǎnchū;"представлять; исполнять; представление, выступление";4
演员;yǎnyuán;артист, актёр;4
眼镜;yǎnjìng;очки (сч. сл. 副 fù);4
阳光;yáng guāng;"солнечный свет, солнце; солнечный";4
养成;yǎngchéng;воспитывать, культивировать, развивать, выработать, привить, взращивать;4
样子;yàngzi;"образец; фасон; модель; вид; образ; мина, поза; видимость";4
邀请;yāoqǐng;"приглашать; приглашение";4
要是;yàoshi;если;4
钥匙;yàoshi;ключ (сч. сл. 把 bǎ);4
也许;yěxǔ;возможно;4
叶子;yèzi;"лист; листва, листья; страница, листок";4
页;yè;страница, листок;4
一切;yíqiè;"весь, целиком; все, всё; огульно; все и вся";4
以;yǐ;"(предлог) с помощью; посредством; в соответствии с; согласно; по; (союз) чтобы; для того, чтобы; из-за (того, что); ввиду того, что";4
以为;yǐwéi;полагать, считать;4
意见;yìjiàn;"мнение, взгляд; точка зрения; (критическое) замечание; претензия";4
艺术;yìshù;"искусство, художество; художественный";4
因此;yīn cǐ;поэтому, ввиду этого, по указанной причине;4
引起;yǐnqǐ;"возбуждать; вызывать";4
印象;yìnxiàng;"впечатление; представление; имидж; эффект";4
